year,id,age,rank,male,run_count,years_since_run,time_in_secs,prev_year
2011,14516,46,2467,0,2,1,17377,2010
2010,14516,45,1606,0,1,1,16788,2009
2010,14520,46,1987,0,1,1,17833,2009
2011,14520,47,2166,0,2,1,16678,2010
2009,14520,45,1492,0,0,-1,16214,-1
2009,14529,26,1570,0,0,-1,16428,-1
2010,14529,27,1111,0,1,1,15560,2009
2010,14531,44,708,1,1,1,14360,2009
2009,14531,43,733,1,0,-1,14054,-1
2010,14538,44,874,1,1,1,14944,2009
2009,14538,43,894,1,0,-1,14516,-1
2013,14538,47,839,1,2,3,13072,2010
2010,14552,32,534,1,1,1,13938,2009
2009,14552,51,1974,1,0,-1,17510,-1
2010,14555,36,873,1,1,1,14935,2009
2009,14555,35,1023,1,0,-1,14934,-1
2010,14557,36,2448,1,1,1,19659,2009
2009,14557,35,2093,1,0,-1,17995,-1
2009,14562,42,1843,0,0,-1,17163,-1
2011,14562,44,1125,0,2,1,14376,2010
2013,14562,46,1225,0,4,1,13581,2012
2012,14562,45,844,0,3,1,14141,2011
2010,14562,43,700,0,1,1,14334,2009
2011,14563,31,537,1,2,1,13142,2010
2010,14563,30,182,1,1,1,12494,2009
2009,14563,29,142,1,0,-1,11856,-1
2009,14565,30,1748,1,0,-1,16883,-1
2010,14565,31,1549,1,1,1,16642,2009
2012,14567,38,1164,0,2,2,14825,2010
2009,14567,35,1326,0,0,-1,15693,-1
2010,14567,36,1629,0,1,1,16848,2009
2011,14571,33,1147,1,2,1,14428,2010
2010,14571,32,196,1,1,1,12568,2009
2009,14571,31,905,1,0,-1,14539,-1
2015,14574,45,1065,1,1,6,15010,2009
2009,14574,38,823,1,0,-1,14278,-1
2014,14583,38,725,1,1,5,14420,2009
2009,14583,42,1907,1,0,-1,17362,-1
2009,14585,46,1736,1,0,-1,16839,-1
2010,14585,47,1575,1,1,1,16690,2009
2011,14585,48,1827,1,2,1,15926,2010
2012,14585,49,1952,1,3,1,16279,2011
2009,14592,33,214,0,0,-1,12395,-1
2010,14592,34,794,0,1,1,14650,2009
2014,14594,24,34,1,1,5,10968,2009
2009,14594,19,228,1,0,-1,12448,-1
2010,14597,42,701,1,1,1,14335,2009
2014,14597,46,1665,1,2,4,16605,2010
2009,14597,41,646,1,0,-1,13824,-1
2009,14607,28,1642,1,0,-1,16631,-1
2012,14607,31,1209,1,1,3,14911,2009
2013,14607,32,1208,1,2,1,13562,2012
2015,14609,45,1145,1,1,6,15250,2009
2009,14609,45,2358,1,0,-1,19381,-1
2009,14611,37,48,1,0,-1,10932,-1
2012,14611,40,17,1,1,3,10031,2009
2013,14622,34,735,0,1,4,12901,2009
2009,14622,30,421,0,0,-1,13137,-1
2009,14634,31,2569,1,0,-1,20794,-1
2011,14634,33,2136,1,1,2,16616,2009
2009,14636,67,2429,1,0,-1,19723,-1
2011,14636,68,3218,1,1,2,20145,2009
2012,14642,36,87,1,1,3,11353,2009
2014,14642,38,79,1,2,2,11662,2012
2009,14642,33,130,1,0,-1,11760,-1
2011,14643,41,988,1,1,2,14094,2009
2013,14643,43,3132,1,2,2,15096,2011
2009,14643,39,586,1,0,-1,13662,-1
2009,14660,38,753,1,0,-1,14102,-1
2013,14660,60,2365,1,1,4,14602,2009
2009,14661,37,679,1,0,-1,13910,-1
2012,14661,41,778,1,1,3,13991,2009
2014,14665,46,1521,0,1,5,16295,2009
2009,14665,41,677,0,0,-1,13899,-1
2012,14672,49,858,1,1,3,14159,2009
2009,14672,47,1238,1,0,-1,15482,-1
2011,14692,42,2493,0,1,2,17455,2009
2009,14692,40,1898,0,0,-1,17314,-1
2010,14701,37,15,1,1,1,10389,2009
2009,14701,36,13,1,0,-1,9914,-1
2009,14708,31,759,1,0,-1,14121,-1
2015,14708,20,2448,1,2,5,20225,2010
2010,14708,32,1373,1,1,1,16205,2009
2010,14714,35,2534,0,1,1,20133,2009
2009,14714,34,2270,0,0,-1,18855,-1
2012,14720,49,2883,0,3,1,18344,2011
2010,14720,47,1823,0,1,1,17357,2009
